stop_id,stop_count,stop_reviews,station,line__001,line__002,x,y,ll__001,ll__002,nb_listings1,nb_listings2,nb_listings3,nb_listings4,nb_listings5,nb_listings10
101,1,1,Alewife Station,red,,640.0,196.0,42.395781,-71.142059,,,,,,
102,1,1,Davis Station,red,,715.0,269.0,42.397096000000005,-71.121853,,,,,,
103,1,1,Porter Square Station,red,,785.0,344.0,42.388453000000005,-71.119147,,,,,,
104,1,1,Harvard Square Station,red,,862.0,420.0,42.373562,-71.118911,11.0,34.0,34.0,34.0,34.0,34.0
105,1,1,Central Square Station,red,,938.0,495.0,42.365556,-71.103847,1.0,1.0,1.0,1.0,1.0,1.0
106,1,1,Kendall Station,red,,1012.0,570.5,42.362575,-71.086209,,,,,,
107,1,1,Charles/MGH Station,red,,1070.0,630.0,42.361212,-71.070674,208.0,208.0,208.0,208.0,208.0,208.0
108,1,1,Park Street Station,red,green,1165.0,720.0,42.356487,-71.062563,60.0,60.0,60.0,60.0,60.0,60.0
109,1,1,Downtown Crossing Station,red,orange,1250.0,810.0,42.355631,-71.06045999999999,84.0,84.0,84.0,84.0,84.0,84.0
110,1,1,South Station,red,,1318.0,878.0,42.352396,-71.05530999999999,63.0,85.0,85.0,85.0,85.0,85.0
111,1,1,Broadway Station,red,,1398.0,1055.0,42.342785,-71.056898,124.0,186.0,190.0,190.0,190.0,190.0
112,1,1,Andrew Station,red,,1398.0,1130.0,42.330159,-71.057456,108.0,222.0,240.0,240.0,240.0,240.0
113,1,1,JFK/UMass Station,red,,1398.0,1225.0,42.320895,-71.052177,77.0,97.0,102.0,102.0,102.0,102.0
114,1,1,North Quincy Station,red,,1540.0,1500.0,42.275376,-71.029561,,1.0,1.0,1.0,1.0,1.0
115,1,1,Wollaston Station,red,,1600.0,1556.0,42.266675,-71.02042,,,,,,
116,1,1,Quincy Center Station,red,,1660.0,1615.0,42.251905,-71.005185,,,,,,
117,1,1,Quincy Adams Station,red,,1698.0,1678.0,42.233447,-71.007159,,,,,,
118,1,1,Braintree Station,red,,1699.0,1766.0,42.207895,-71.002095,,,,,,
119,1,1,Savin Hill Station,red,,1317.0,1455.0,42.311343,-71.05329300000001,102.0,123.0,123.0,123.0,123.0,123.0
120,1,1,Fields Corner,red,,1315.0,1500.0,42.300139,-71.061705,97.0,123.0,123.0,123.0,123.0,123.0
121,1,1,Shawmut Station,red,,1315.0,1537.0,42.293251,-71.06573900000001,83.0,122.0,122.0,122.0,122.0,122.0
122,1,1,Ashmont Station,red,,1315.0,1573.0,42.284647,-71.064494,71.0,80.0,80.0,80.0,80.0,80.0
123,1,1,Cedar Grove Station,red,,1315.0,1644.0,42.279758,-71.060546,7.0,9.0,9.0,9.0,9.0,9.0
124,1,1,Butler Station,red,,1298.0,1685.0,42.272422999999996,-71.062692,1.0,1.0,1.0,1.0,1.0,1.0
125,1,1,Milton Station,red,,1250.0,1685.0,42.270359,-71.06766999999999,7.0,7.0,7.0,7.0,7.0,7.0
126,1,1,Central Avenue Station,red,,1203.0,1685.0,42.270073,-71.073378,23.0,25.0,25.0,25.0,25.0,25.0
127,1,1,Valley Road Station,red,,1157.0,1685.0,42.268326,-71.081574,6.0,10.0,10.0,10.0,10.0,10.0
128,1,1,Capen Street Station,red,,1115.0,1685.0,42.267691,-71.08766800000001,4.0,8.0,8.0,8.0,8.0,8.0
129,1,1,Mattapan Station,red,,1062.0,1685.0,42.267818,-71.09213199999999,11.0,31.0,81.0,95.0,109.0,113.0
130,1,1,Oak Grove Station,orange,,1295.0,53.0,42.43672,-71.071065,,,,,,
131,1,1,Malden Center Station,orange,,1295.0,108.0,42.426417,-71.07381099999999,,,,,,
132,1,1,Wellington Station,orange,,1295.0,172.0,42.401894,-71.077159,,,,,,
133,1,1,Assembly Station,orange,,1295.0,223.0,42.392734999999995,-71.07724499999999,,1.0,1.0,1.0,1.0,1.0
134,1,1,Sullivan Square Station,orange,,1295.0,285.0,42.383955,-71.077159,47.0,47.0,47.0,47.0,47.0,47.0
135,1,1,Community College Station,orange,,1295.0,342.0,42.373588,-71.069777,86.0,90.0,90.0,90.0,90.0,90.0
136,1,1,North Station,orange,green,1295.0,483.0,42.365598,-71.061666,92.0,94.0,94.0,94.0,94.0,94.0
137,1,1,Haymarket Station,orange,green,1295.0,588.0,42.362998,-71.058362,213.0,213.0,213.0,213.0,213.0,213.0
138,1,1,State Station,orange,blue,1295.0,710.0,42.358939,-71.057804,22.0,22.0,22.0,22.0,22.0,22.0
140,1,1,Chinatown Station,orange,,1135.0,926.0,42.352501000000004,-71.06260999999999,177.0,177.0,177.0,177.0,177.0,177.0
141,1,1,Tufts Medical Center Station,orange,,1065.0,995.0,42.349615,-71.063941,129.0,129.0,129.0,129.0,129.0,129.0
142,1,1,Back Bay Station,orange,,1010.0,1053.0,42.347332,-71.076043,235.0,241.0,241.0,241.0,241.0,241.0
143,1,1,Massachusetts Avenue Station,orange,,955.0,1105.0,42.347902000000005,-71.087973,52.0,52.0,52.0,52.0,52.0,52.0
144,1,1,Ruggles Station,orange,,905.0,1158.0,42.347902000000005,-71.087973,,,,,,
145,1,1,Roxbury Crossing Station,orange,,850.0,1210.0,42.331428,-71.095613,102.0,130.0,130.0,130.0,130.0,130.0
146,1,1,Jackson Square Station,orange,,783.0,1279.0,42.323115,-71.099733,108.0,174.0,174.0,174.0,174.0,174.0
147,1,1,Stony Brook Station,orange,,715.0,1346.5,42.317213,-71.104754,152.0,171.0,171.0,171.0,171.0,171.0
148,1,1,Green Street Station,orange,,647.0,1415.0,42.310359000000005,-71.107801,136.0,143.0,143.0,143.0,143.0,143.0
149,1,1,Forest Hills Station,orange,,579.0,1483.0,42.300647,-71.11586899999999,80.0,117.0,180.0,218.0,239.0,249.0
150,1,1,Wonderland Station,blue,,1878.0,138.0,42.413499,-70.991734,,,,,,
151,1,1,Revere Beach Station,blue,,1810.0,203.0,42.407986,-70.992592,,,,,,
152,1,1,Beachmont Station,blue,,1757.0,260.0,42.397718,-70.992378,,,,,,
153,1,1,Suffolk Downs Station,blue,,1701.0,314.0,42.390492,-70.997227,3.0,3.0,3.0,3.0,3.0,3.0
154,1,1,Orient Heights Station,blue,,1646.0,368.0,42.386689000000004,-71.004909,47.0,47.0,47.0,47.0,47.0,47.0
155,1,1,Wood Island Station,blue,,1588.0,426.0,42.379651,-71.022976,33.0,33.0,33.0,33.0,33.0,33.0
156,1,1,Airport Station,blue,,1547.0,469.0,42.37404,-71.030401,97.0,103.0,103.0,103.0,103.0,103.0
157,1,1,Maverick Station,blue,,1487.0,530.0,42.369189,-71.039627,114.0,128.0,128.0,128.0,128.0,128.0
158,1,1,Aquarium,blue,,1376.0,638.0,42.359803,-71.051815,70.0,70.0,70.0,70.0,70.0,70.0
161,1,1,Bowdoin Station,blue,,1168.0,595.0,42.36142,-71.062115,86.0,86.0,86.0,86.0,86.0,86.0
162,1,1,Lechmere Station,green,,1222.0,408.0,42.370838,-71.07661999999999,1.0,1.0,1.0,1.0,1.0,1.0
163,1,1,Science Park Station,green,,1260.0,445.0,42.366684,-71.06778,80.0,80.0,80.0,80.0,80.0,80.0
166,1,1,Government Center Station,blue,green,1225.0,650.0,42.359713,-71.059212,6.0,6.0,6.0,6.0,6.0,6.0
168,1,1,Boylston Street Station,green,,1083.0,801.0,42.352998,-71.064571,60.0,60.0,60.0,60.0,60.0,60.0
169,1,1,Arlington Station,green,,975.0,812.0,42.351983000000004,-71.070923,64.0,64.0,64.0,64.0,64.0,64.0
170,1,1,Copley Station,green,,887.0,812.0,42.349937,-71.077489,126.0,126.0,126.0,126.0,126.0,126.0
171,1,1,Hynes Convention Center,green,,797.0,812.0,42.347939000000004,-71.087939,146.0,146.0,146.0,146.0,146.0,146.0
172,1,1,Kenmore Station,green,,709.5,812.0,42.348917,-71.095169,66.0,66.0,66.0,66.0,66.0,66.0
173,1,1,Blandford Street Station,green,,653.0,785.0,42.349313,-71.100297,8.0,8.0,8.0,8.0,8.0,8.0
174,1,1,Boston University East Station,green,,627.0,758.0,42.349773,-71.103988,7.0,7.0,7.0,7.0,7.0,7.0
175,1,1,Boston University Central Station,green,,592.0,726.0,42.35009,-71.106799,1.0,1.0,1.0,1.0,1.0,1.0
176,1,1,Boston University West Station,green,,565.0,696.0,42.350899,-71.113837,,,,,,
177,1,1,St. Paul Street 02,green,,530.0,664.0,42.351248,-71.11609,1.0,1.0,1.0,1.0,1.0,1.0
178,1,1,Pleasant Street Station,green,,504.0,637.0,42.351533,-71.11903000000001,,,,,,
179,1,1,Babcock Street Station,green,,471.0,602.0,42.35185,-71.121712,3.0,3.0,3.0,3.0,3.0,3.0
180,1,1,Packards Corner Station,green,,440.0,572.0,42.351977000000005,-71.125038,61.0,94.0,94.0,94.0,94.0,94.0
181,1,1,Harvard Avenue Station,green,,395.0,555.0,42.35028,-71.131454,93.0,110.0,110.0,110.0,110.0,110.0
182,1,1,Griggs Street/Long Avenue Station,green,,346.0,572.0,42.348504,-71.134951,42.0,42.0,42.0,42.0,42.0,42.0
183,1,1,Allston Street Station,green,,318.0,602.0,42.348695,-71.138041,45.0,49.0,49.0,49.0,49.0,49.0
184,1,1,Warren Street Station,green,,288.0,633.0,42.348409000000004,-71.140509,64.0,106.0,106.0,106.0,106.0,106.0
185,1,1,Washington Street Station,green,,256.0,666.0,42.343937,-71.141903,24.0,24.0,24.0,24.0,24.0,24.0
186,1,1,Sutherland Road Station,green,,228.0,694.0,42.341621,-71.146753,31.0,31.0,31.0,31.0,31.0,31.0
187,1,1,Chiswick Road Station,green,,195.5,725.0,42.340796999999995,-71.151474,44.0,48.0,48.0,48.0,48.0,48.0
188,1,1,Chestnut Hill Avenue Station,green,,165.0,754.0,42.338243,-71.15387700000001,15.0,15.0,15.0,15.0,15.0,15.0
189,1,1,South Street Station,green,,134.0,786.0,42.339575,-71.158426,18.0,24.0,24.0,24.0,24.0,24.0
190,1,1,Boston College Station,green,,82.0,813.0,42.34013,-71.166859,23.0,89.0,89.0,89.0,89.0,89.0
191,1,1,St. Mary's Street Station,green,,592.0,791.0,42.345967,-71.10791400000001,6.0,6.0,6.0,6.0,6.0,6.0
192,1,1,Hawes Street Station,green,,563.0,765.0,42.344873,-71.112206,,,,,,
193,1,1,Kent Street Station,green,,531.0,732.0,42.344015999999996,-71.115189,,,,,,
194,1,1,St. Paul Street,green,,429.0,725.0,42.343358,-71.11794599999999,,,,,,
195,1,1,Coolidge Corner Station,green,,398.0,759.0,42.342232,-71.121143,,,,,,
196,1,1,Summit Avenue Station,green,,370.0,784.0,42.341105999999996,-71.126808,,,,,,
197,1,1,Brandon Hall Station,green,,337.0,815.0,42.340027,-71.129683,,,,,,
198,1,1,Fairbanks Station,green,,305.5,850.0,42.339742,-71.132001,,,,,,
199,1,1,Washington Square Station,green,,272.0,880.0,42.339488,-71.135391,,,,,,
200,1,1,Tappan Street Station,green,,240.0,913.0,42.338505,-71.139747,1.0,1.0,1.0,1.0,1.0,1.0
201,1,1,Dean Road Station,green,,210.0,945.0,42.337854,-71.142236,1.0,1.0,1.0,1.0,1.0,1.0
202,1,1,Englewood Avenue Station,green,,176.0,980.0,42.337014,-71.145669,7.0,7.0,7.0,7.0,7.0,7.0
203,1,1,Cleveland Circle Station,green,,125.0,1005.0,42.336189000000005,-71.149381,13.0,13.0,13.0,13.0,13.0,13.0
204,1,1,Fenway Station,green,,625.0,856.0,42.345463,-71.104259,254.0,254.0,254.0,254.0,254.0,254.0
205,1,1,Longwood Station,green,,592.0,890.0,42.341181,-71.110417,4.0,4.0,4.0,4.0,4.0,4.0
206,1,1,Brookline Village Station,green,,558.0,920.0,42.33279,-71.116661,,,,,,
207,1,1,Brookline Hills Station,green,,528.0,953.0,42.331331,-71.12736899999999,,,,,,
208,1,1,Beaconsfield Station,green,,494.0,984.0,42.335836,-71.140822,,,,,,
209,1,1,Reservoir Station,green,,463.0,1016.0,42.334979,-71.149019,,,,,,
210,1,1,Chestnut Hill Station,green,,430.0,1048.0,42.326651,-71.16534899999999,,,1.0,4.0,6.0,6.0
211,1,1,Newton Centre Station,green,,398.0,1082.0,42.329443,-71.192471,,,,,,
212,1,1,Newton Highlands Station,green,,366.0,1114.5,42.321733,-71.206097,,,,,,
213,1,1,Eliot Station,green,,333.0,1147.0,42.318989,-71.216718,,,,,,
214,1,1,Waban Station,green,,300.0,1178.0,42.325953000000005,-71.230752,,,,,,
215,1,1,Woodlan Station,green,,270.0,1211.0,42.333377,-71.244334,,,,,,
216,1,1,Riverside Station,green,,217.0,1238.0,42.337057,-71.25178000000001,,,,,,
217,1,1,Prudential Station,green,,830.0,870.0,42.345684999999996,-71.081749,177.0,177.0,177.0,177.0,177.0,177.0
218,1,1,Symphony Station,green,,828.0,972.0,42.342688,-71.085054,176.0,206.0,206.0,206.0,206.0,206.0
219,1,1,Northeastern University Station,green,,805.0,1005.0,42.340452,-71.088766,29.0,32.0,32.0,32.0,32.0,32.0
220,1,1,Museum of Fine Arts Station,green,,777.0,1030.0,42.337771000000004,-71.095568,18.0,18.0,18.0,18.0,18.0,18.0
221,1,1,Longwood Medical Area Station,green,,750.0,1059.0,42.336058,-71.101855,9.0,9.0,9.0,9.0,9.0,9.0
222,1,1,Brigham Cricle Station,green,,723.0,1085.0,42.334282,-71.10458,22.0,22.0,22.0,22.0,22.0,22.0
223,1,1,Fenwood Road Station,green,,694.0,1115.0,42.333726,-71.105739,15.0,15.0,15.0,15.0,15.0,15.0
224,1,1,Mission Park Station,green,,668.0,1140.0,42.333139,-71.109838,14.0,14.0,14.0,14.0,14.0,14.0
225,1,1,Riverway Station,green,,642.0,1166.0,42.331728000000005,-71.111983,51.0,51.0,51.0,51.0,51.0,51.0
226,1,1,Back of the Hill Station,green,,613.0,1195.0,42.330141,-71.11138299999999,77.0,77.0,77.0,77.0,77.0,77.0
227,1,1,Heath Street Station,green,,586.0,1222.0,42.328666,-71.110524,103.0,104.0,104.0,104.0,104.0,104.0
